,Albuquerque,Anchorage,Baltimore,Billings,Birmingham,Charleston,Charlotte,Chicago,Detroit,Fargo,Houston,Jacksonville,Louisville,Manchester,Milwaukee,Minneapolis,Omaha,Philadelphia,Portland,Seattle,Wichita
54,55000.0,175.0,4500.0,23000.0,0.0,8900.0,9500.0,1.0,5000.0,17495.0,4800.0,1000.0,10000.0,0.0,29500.0,12995.0,1.0,100.0,11500.0,9200.0,15.0
55,50000.0,100.0,15.0,16500.0,0.0,9900.0,9500.0,1400.0,100.0,25.0,0.0,65.0,13995.0,0.0,26900.0,350.0,250.0,40.0,20000.0,5000.0,13000.0
56,30.0,9000.0,6500.0,17650.0,0.0,75.0,9700.0,75.0,27000.0,6995.0,0.0,43000.0,19995.0,0.0,9995.0,80.0,24999.0,700.0,3400.0,60.0,750.0
57,3500.0,22990.0,2003.0,39500.0,0.0,1300.0,150.0,40.0,135.0,24999.0,0.0,20000.0,90000.0,0.0,50156.0,15626.0,200.0,185.0,795.0,650.0,400.0
58,4800.0,100.0,1600.0,5500.0,0.0,8000.0,25.0,5500.0,50.0,20000.0,0.0,40.0,32000.0,0.0,20.0,24500.0,100.0,15959.0,43500.0,31995.0,37500.0
59,650.0,12000.0,43000.0,12500.0,0.0,9900.0,6400.0,90.0,4000.0,5250.0,0.0,8890.0,75.0,0.0,14000.0,23999.0,75.0,999.0,375.0,72995.0,13950.0
60,2825.0,160.0,7500.0,51499.0,0.0,2500.0,5500.0,119.0,90.0,17495.0,0.0,54900.0,9900.0,0.0,10900.0,1700.0,5949.0,21995.0,150.0,11995.0,8000.0
61,3350.0,1.0,11000.0,29000.0,0.0,9000.0,35.0,24500.0,30.0,23750.0,0.0,24900.0,42500.0,0.0,50.0,2000.0,125.0,100.0,40.0,3500.0,8500.0
62,95.0,200.0,975.0,29000.0,0.0,9000.0,225.0,15000.0,30.0,200.0,0.0,46900.0,50.0,0.0,20.0,50.0,34500.0,17200.0,31999.0,1.0,20000.0
63,50.0,39999.0,18000.0,125.0,0.0,40000.0,59000.0,1.0,29300.0,10000.0,0.0,2500.0,40.0,0.0,5500.0,22000.0,200.0,12600.0,26999.0,1.0,28850.0
64,5400.0,14500.0,600.0,9988.0,0.0,250.0,28600.0,25.0,100.0,31900.0,0.0,174500.0,10000.0,0.0,700.0,175.0,175.0,60.0,80.0,16900.0,3000.0
